,id,date,text,type,edited_date,parent_post_id,direct_reply_to,likes,language,textblob_polarity,vader_sentiment_positive,vader_sentiment_neutral,vader_sentiment_negative,vader_sentiment_compound,RuSentiment_positive,RuSentiment_neutral,RuSentiment_negative,user_screen_name
0,UgwAtIAuzJdP6LWGN294AaABAg,2024-03-09T03:27:01Z,The movie is great but we need more drama …kind of boring,Thread,2024-03-09T03:27:01Z,,,0,en,0.1,0.165,0.19,0.645,-0.1027,,,,
1,UgyRjm0mMDFrneFuTlZ4AaABAg,2024-02-23T17:00:10Z,"so what, anytime a ""journalist"" actually does their job, we have to watch some long winded, boring, obviously over dramatic movie about it so they can pat themselves on the back while continuing to bury, twist and manipulate the actually important stories to fit the agenda of their establishment handlers? No thank you.",Thread,2024-02-23T17:19:38Z,,,0,en,-0.0854166666666666,0.075,0.076,0.849,-0.0284,,,,
2,UgwPQv4vD6M2SIHuOLR4AaABAg,2024-02-16T08:32:12Z,The amount of right wing trolls in these comments is pretty crazy. Any time sexual assault is discussed in any context you can guarantee a bunch of Trump loving assholes will be there claiming it's all fake or minimizing it's importance.,Thread,2024-02-16T08:32:29Z,,,0,en,0.0892857142857142,0.201,0.227,0.572,-0.3612,,,,
3,Ugwknn5TlSKQZirPpPp4AaABAg,2024-01-28T15:20:37Z,"This movie is scary. It shows a massive hypocrisy of how people are willing to let themselves to be abused once there is a lot of money coming out of the abuse but once somebody finally brings it out only then it becames a real problem they are willing to share. Once you are getting the next massively overpaid job as movies are - you can deal with some abuse but once the position of an abuser is in stake and there is no more jobs and money for you the abuse suddenly becames a problem you are willing to talk about. Also it shows how hearsay can send you to jail because in this topic you don't need actual proofs. He is a creep and deserves to be in prison but how can you accept to be abused in trade of work and money or their promise, act like you was not once is over and be capable to look at yourself in the mirror?",Thread,2024-01-28T15:20:37Z,,,0,en,0.02,0.076,0.203,0.721,-0.9824,,,,
4,Ugw3gcFseTuLuHTTyNZ4AaABAg,2024-01-27T23:52:52Z,Just watched this movie bring so many painful memories back to the core for me It doesn't matter how powerful a man is or famous it does not give him the right to treat a woman like this it stays with her for the rest of her life it doesn't go away by the snap of her fingers the trauma is so bad and it makes you feel like you are nothing,Thread,2024-01-27T23:52:52Z,,,0,en,0.0265306122448979,0.091,0.155,0.754,-0.6681,,,,
5,UgwoiKBPSbK0RxG9xRV4AaABAg,2023-12-26T00:37:49Z,I think i can smell shite,Thread,2023-12-26T00:37:49Z,,,1,en,,,,1.0,,,,,
6,Ugz7mPCVRACn_yoLQvp4AaABAg,2023-12-25T22:10:46Z,"I honestly get the message they're trying to send, but it's hard to keep up when the 2 main characters lack personality, it makes the movie a boring watch when the protagonists are near identical to one another in terms of character.",Thread,2023-12-25T22:11:33Z,,,0,en,-0.085,0.042,0.158,0.8,-0.6705,,,,
7,Ugyb9Jm5FZUSrReO-dt4AaABAg,2023-12-14T04:06:11Z,Rest in peace Andre you were amazing in this,Thread,2023-12-14T04:06:11Z,,,0,en,0.6000000000000001,0.51,,0.49,0.8074,,,,
8,UgwRabHE5YO-5bedA154AaABAg,2023-12-11T19:08:28Z,So happy this film bombed so hard. It was the industry making a movie about how they turned their own blind eye on a monster and now want to make money about the time they turned a blind eye to a monster.,Thread,2023-12-11T19:08:28Z,,,0,en,0.0216666666666666,0.107,0.147,0.747,-0.2437,,,,
9,UgyVwTsG7wDuWAfOACp4AaABAg,2023-12-01T20:39:05Z,"Ricky Gervais said it best when he joked about it at the Golden Globes and then said"" Shut the f up, what are you booing me for? You're the ones who did it."" Nobody makes our choices for us, that's why God gave us free will. 🙏",Thread,2023-12-01T20:39:05Z,,,0,en,0.5666666666666668,0.213,,0.787,0.8979,,,,
10,Ugw5mHBzuVoiflKGNBB4AaABAg,2023-11-25T05:06:35Z,Massive woke flop hollywood is so stunning and brave,Thread,2023-11-25T05:06:35Z,,,0,en,0.4333333333333333,0.456,0.156,0.389,0.6838,,,,
11,9xX80vMb8lyA-sDIHVUytE,2024-02-16T08:30:07Z,"Shouldn't you be somewhere plotting to overthrow democracy and install your cult leader, Trump, as dictator?",Reply,2024-02-16T08:30:07Z,Ugw5mHBzuVoiflKGNBB4AaABAg,,0,en,,,,1.0,,,,,
12,Ugy9Kd7kdvaJ9XTQYwN4AaABAg,2023-11-21T17:03:50Z,I think the scene where the writer mentioned to the husband of one of the victims was a bit over stepping. She should have not told the husband since she could sense already the guy did not know that history of his wife.,Thread,2023-11-21T17:03:50Z,,,0,en,,,0.052,0.948,-0.3182,,,,
13,Ugw5wHF74WEsPYYuTPt4AaABAg,2023-11-19T04:02:37Z,"1 year old already! 

We've all heard the phrase, ""that's what she said or she said that just to etc..."" 

It's not just Hollywood actresses but in all work environments; the two journalists are determined to make the struggle worth it and enforce the #MeToo movement 
The law rarely takes all victims stories seriously, even the newspapers bury the stories that need to be heard, there's a whole machine operating protecting abusers, for women it's a constant battle to survive no women wants their daughters to grow up in a world where being taken advantage of is okay, most just want their voice back, even actresses get blackballed and ultimately shut out of their professions because of the claims they make getting dismissed entirely, using a direct quote of the opposite sex labels you a victim, the silence is most angering given that not one person is willing to speak up 
The movie is a deep dive into investigative surgery opening up the painful truth, journalism itself is often under siege but the truth is more important 
The movie works being direct, raw, honest and doesn't pull any punches 
It stinks so many women suffer in the workplace not just the world of entertainment Takes a lot of courage to talk about the trauma that goes on behind closed curtains but even harder to actually prove it 
This film realistically gives us a sense of how an investigation is built, sources being confirmed and protected, and documents uncovered 
It's also more than just putting a predator away; it's also about other things 
It is about the rage of women compelled to be silenced for years, the empathy borne out of shared experience and existence 
This plays more like a procedural and prolly would've served better as a streaming feature like Amazon prime video or HBO Max 
And it doesn't fully make a statement on the #MeToo era 
But Mulligan and Kazan are pitch perfect as two women getting to the core of the real story and exposing all the hidden facets for real change 
The consequences someone like Harvey Weinstein faces is a pure example of when someone actually speaks up to end the vicious cycle of abuse from power hopefully for good in the upcoming days",Thread,2023-11-19T04:02:37Z,,,0,en,0.1269422438027089,0.162,0.118,0.72,0.9457,,,,
14,UgyW5vTKFKj8peBnTKF4AaABAg,2023-11-17T14:37:59Z,An overly caffeinated white woman's fever dream.,Thread,2023-11-17T14:37:59Z,,,1,en,,0.25,,0.75,0.25,,,,
15,Ugx3vSGmL2c3lSYb7wh4AaABAg,2023-11-17T04:18:38Z,"How brave, these 2 women uncovered a ""conspiracy"" that literally everyone in Hollywood knew about.",Thread,2023-11-17T04:18:38Z,,,4,en,0.8,0.172,0.172,0.657,,,,,
16,9xCSAnmc7Zz9xtf7GGTLuT,2023-12-04T08:27:04Z,You definitely need to read the book. It's far more complicated than that!,Reply,2023-12-04T08:27:04Z,Ugx3vSGmL2c3lSYb7wh4AaABAg,,0,en,-0.00625,0.2,,0.8,0.4574,,,,
17,9xCSAnmc7Zz9zXzjiw5y9x,2024-01-14T06:07:29Z,@@genevievecollins7875 No it isn't.,Reply,2024-01-14T06:07:29Z,Ugx3vSGmL2c3lSYb7wh4AaABAg,@genevievecollins7875,0,nl,,,,,,,,,
